,CustID,Time,Age,Gender,Visits,Paintings,Jewelry,Mosaics,Sculpture,Paint_Commisions,Jew_Commissions,Mos_Commisions,Sculp_Commisions,Total_Commisions,Promotion,,,,,,,
1,86753091,1.22,22.9,0,61,550.2223644,192.0457315,70.61830751,38.34132445,44.01778915,15.36365852,8.474196901,4.600958934,72.45660351,0,,,Paintings,Jewelry,Mosaics,Sculptures,
2,86753092,1.25,44,0,69,96.12071287,210.9919714,285.1215228,15.64489387,7.68965703,16.87935771,34.21458274,1.877387264,60.66098474,0,,,0.08,0.08,0.12,0.12,
3,86753093,1.09,44.4,0,84,10.0682782,292.0326481,265.5397291,23.45224595,0.805462256,23.36261185,31.86476749,2.814269514,58.84711111,0,,,,,,,
4,86753094,1.67,31.2,0,32,105.960713,344.6171441,216.071971,317.9841788,8.47685704,27.56937153,25.92863652,38.15810146,100.1329665,0,,,,,,,
5,86753095,0.85,34.5,1,19,38.60531592,17.59959317,446.3177941,355.588094,3.088425274,1.407967454,53.55813529,42.67057128,100.7250993,0,,,,,,,
6,86753096,0.75,36.1,1,21,11.88859991,32.57290344,460.3095654,328.5865293,0.951087993,2.605832275,55.23714785,39.43038352,98.22445163,0,,,,,,,
7,86753097,1.78,34.1,0,58,193.416041,157.5195855,299.3788191,210.250832,15.47328328,12.60156684,35.92545829,25.23009984,89.23040825,1,,,,,,,
8,86753098,1.29,38.7,0,73,14.75695068,300.926545,261.0116162,4.71913748,1.180556054,24.0741236,31.32139394,0.566296498,57.1423701,0,,,,,,,
9,86753099,1.66,32.4,0,40,218.1511574,308.7864129,277.7877753,176.9410317,17.45209259,24.70291303,33.33453304,21.2329238,96.72246246,1,,,,,,,
10,867530910,1.78,33.9,0,29,259.9252131,279.1580232,218.6143695,196.0915753,20.79401705,22.33264186,26.23372434,23.53098904,92.89137228,1,,,,,,,
11,867530911,1.24,42.8,0,49,45.39327764,262.0511202,267.2510518,1.747649614,3.631462211,20.96408962,32.07012622,0.209717954,56.875396,0,,,,,,,
12,867530912,1.34,20,1,60,469.5501234,268.2356101,7.903688614,9.998428082,37.56400987,21.45884881,0.948442634,1.19981137,61.17111268,0,,,,,,,
13,867530913,1.88,23,0,57,447.6696861,227.9405959,72.48102417,25.74398924,35.81357489,18.23524767,8.6977229,3.089278709,65.83582417,0,,,,,,,
14,867530914,1.6,29.1,1,65,259.5643529,226.097497,373.5983889,145.6477958,20.76514823,18.08779976,44.83180667,17.4777355,101.1624902,0,,,,,,,
15,867530915,1.19,37.9,1,88,35.62795836,250.9610378,288.8902635,51.60182189,2.850236669,20.07688302,34.66683162,6.192218627,63.78616994,0,,,,,,,
